1.1v,1.1i,1.2v,1.2i,1.3v,1.3i,1.4v,1.4i,1.5v,1.5i,1.6v,1.6i,1.7v,1.7i,1.8v,1.8i,1.9v,1.9i,2.0v,2.0i,,,,,
1.167581949,9.48E-08,1.188234952,1.39E-08,1.180221317,1.04E-08,1.162644593,5.15E-09,1.178165288,1.05E-08,1.146266625,3.16E-09,1.127946113,1.62E-09,1.156646077,1.22E-07,1.127854272,1.80E-09,1.121818441,1.51E-09,,,,,
1.172748724,6.51E-09,1.192241362,-2.12E-07,1.18440844,-9.16E-09,1.16729284,3.53E-08,1.182758672,7.99E-08,1.151436382,3.88E-09,1.13338832,2.01E-09,1.160736175,6.72E-09,1.133249007,2.23E-09,1.126949705,2.34E-08,,,,,
1.177378562,-3.24E-08,1.200254181,-1.76E-07,1.188595562,1.38E-08,1.171941087,7.80E-09,1.187352055,1.55E-08,1.15660614,8.09E-08,1.138830528,2.50E-09,1.164826273,7.32E-09,1.138643741,2.76E-09,1.132080968,2.27E-09,,,,,
1.18338441,9.29E-09,1.208266999,8.48E-07,1.192782684,1.64E-08,1.176589334,3.83E-08,1.191945438,4.74E-09,1.161775897,6.04E-09,1.144272736,3.10E-09,1.168916371,8.72E-09,1.144038475,7.93E-08,1.137212232,2.31E-08,,,,,
1.189390258,1.22E-08,1.212061206,3.97E-08,1.196969807,6.86E-08,1.181697093,1.14E-08,1.19749092,2.22E-08,1.166409642,-2.69E-08,1.149714944,8.61E-08,1.173006469,4.72E-08,1.14943321,4.39E-09,1.142313186,3.40E-09,,,,,
1.194795521,1.51E-08,1.215475992,3.55E-08,1.201944071,2.38E-08,1.186804852,5.05E-08,1.203036403,2.81E-08,1.172373497,8.64E-09,1.155157151,4.94E-09,1.177096568,1.23E-08,1.154011104,-3.43E-08,1.14741414,2.24E-08,,,,,
1.200200784,1.87E-08,1.217772944,3.94E-08,1.206918335,5.79E-08,1.19191261,1.71E-08,1.208581885,3.49E-08,1.178337351,1.12E-08,1.159752927,5.69E-09,1.181186666,1.18E-08,1.160280531,6.30E-09,1.152515094,5.08E-09,,,,,
1.205606047,2.31E-08,1.220069897,4.32E-08,1.212231949,3.54E-08,1.197020369,8.08E-08,1.214127368,4.35E-08,1.18370482,1.39E-08,1.164348702,6.88E-09,1.186601372,1.73E-08,1.166549959,8.32E-09,1.157616049,4.15E-08,,,,,
1.21101131,2.86E-08,1.222366849,4.73E-08,1.217545564,4.34E-08,1.202128128,2.57E-08,1.21967285,5.42E-08,1.189072289,1.72E-08,1.168944478,8.20E-09,1.192016078,2.17E-08,1.172129488,1.04E-08,1.162717003,7.65E-09,,,,,
1.216416574,3.54E-08,1.226960754,1.13E-07,1.222859178,5.36E-08,1.207235887,9.04E-08,1.225218333,6.75E-08,1.194439758,2.13E-08,1.173540253,9.90E-09,1.197430784,2.68E-08,1.177709018,1.29E-08,1.167817957,3.85E-08,,,,,
