0.1v,0.1i,0.2v,0.2i,0.3v,0.3i,0.4v,0.4i,0.5v,0.5i,0.6v,0.6i,0.7v,0.7i,0.8v,0.8i,0.9v,0.9i,1.0v,1.0i
1.977809245,3.04E-04,1.977809245,3.04E-04,1.993054683,3.63E-04,1.996500999,3.92E-04,1.999499,4.15E-04,1.952501,4.26E-04,1.850739032,3.83E-04,1.998501,4.50E-04,1.901857485,4.51E-04,1.999499,4.61E-04
1.999499,2.78E-04,1.999499,2.78E-04,1.999499,3.67E-04,1.992501,3.94E-04,1.999501,4.25E-04,1.936500999,4.17E-04,1.804231054,3.44E-04,1.996500999,4.52E-04,1.938882425,4.69E-04,1.999501,4.71E-04
1.999501,5.75E-04,1.999501,5.75E-04,1.999501,3.72E-04,1.984500999,3.93E-04,1.998501,4.20E-04,1.904500999,3.87E-04,1.757723076,2.75E-04,1.992501,4.59E-04,1.971063546,4.17E-04,1.998501,4.68E-04
1.998501,4.87E-04,1.998501,4.87E-04,1.998501,3.68E-04,1.968500999,3.89E-04,1.996500999,4.07E-04,1.872501,3.93E-04,1.711215097,3.31E-04,1.984500999,4.55E-04,1.999499,3.73E-04,1.996500999,4.57E-04
1.996500999,-2.44E-05,1.996500999,-2.44E-05,1.996500999,3.61E-04,1.952501,3.84E-04,1.992501,4.00E-04,1.840501,3.83E-04,1.671278632,1.64E-04,1.968500999,4.46E-04,1.999501,5.99E-04,1.992501,4.51E-04
1.992501,-6.65E-05,1.992501,-6.65E-05,1.992501,3.59E-04,1.936501,3.78E-04,1.984500999,4.05E-04,1.797437568,3.88E-04,1.631342167,-4.14E-04,1.952501,4.34E-04,1.998501,5.76E-04,1.984500999,4.54E-04
1.988500999,1.72E-04,1.988500999,1.72E-04,1.984500999,3.60E-04,1.904500999,3.60E-04,1.968500999,4.10E-04,1.754374137,3.65E-04,1.628243164,-4.29E-04,1.920500999,4.39E-04,1.996500999,2.64E-04,1.968500999,4.60E-04
1.980500999,3.91E-04,1.980500999,3.91E-04,1.968500999,3.59E-04,1.872501,3.34E-04,1.952501,4.06E-04,1.711310706,3.36E-04,1.622045158,-4.56E-04,1.896570876,4.25E-04,1.992501,2.24E-04,1.952501,4.56E-04
1.964500999,3.11E-04,1.964500999,3.11E-04,1.952501,3.54E-04,1.840501,3.29E-04,1.936501,4.00E-04,1.668247274,2.41E-04,1.61442714,-5.07E-04,1.872640752,4.09E-04,1.984500999,3.63E-04,1.936501,4.50E-04
1.948500999,3.02E-04,1.948500999,3.02E-04,1.936500999,3.48E-04,1.808501,3.11E-04,1.904500999,3.80E-04,1.646467225,1.06E-04,1.607904732,-5.91E-04,1.848710629,3.90E-04,1.968500999,4.53E-04,1.904500999,4.31E-04
