1v,1i,2v,2i,3v,3i,4v,4i,5v,5i,6v,6i,7v,7i,8v,8i,9v,9i,10v,10i,,,,,
1.094508711,1.39E-08,1.053369792,9.53E-11,1.049803589,1.23E-10,1.01738043,3.58E-09,1.018189883,6.17E-10,1.015590809,6.70E-09,1.012339758,9.57E-10,1.010488008,4.69E-10,1.014217545,1.44E-09,1.013371837,8.22E-10,,,,,
1.09970929,3.24E-10,1.056192245,1.07E-10,1.052755525,1.38E-10,1.02386043,4.11E-09,1.021429883,6.22E-10,1.01838673,1.36E-09,1.015255758,1.69E-09,1.012108008,3.11E-09,1.016511625,5.64E-09,1.015943067,1.31E-09,,,,,
1.104909869,8.63E-09,1.059014697,1.19E-10,1.055412267,1.54E-10,1.03034043,3.33E-09,1.027909883,4.46E-09,1.02118265,1.47E-09,1.018171758,2.79E-09,1.015348008,1.24E-09,1.019192095,1.25E-09,1.018514297,2.09E-09,,,,,
1.110242934,4.88E-10,1.064659601,1.20E-08,1.05806901,1.71E-10,1.03682043,5.55E-09,1.034389883,1.15E-10,1.023978571,2.67E-09,1.024003758,2.90E-09,1.018264008,1.86E-09,1.021872565,1.43E-09,1.023656758,5.73E-09,,,,,
1.115576,5.79E-10,1.070304506,1.97E-10,1.060725752,1.90E-10,1.04330043,1.27E-10,1.040869883,1.03E-08,1.029570413,3.02E-09,1.029835758,5.00E-09,1.021180008,7.87E-10,1.024553035,2.49E-09,1.028799218,2.28E-09,,,,,
1.120909065,7.40E-10,1.07538492,8.41E-09,1.066039237,1.13E-08,1.04978043,1.55E-08,1.047349883,1.89E-10,1.035162255,4.75E-09,1.035667758,5.35E-09,1.024096008,1.17E-09,1.029913976,2.66E-09,1.033941679,6.88E-09,,,,,
1.12624213,9.14E-10,1.080558209,2.95E-10,1.071352721,3.06E-10,1.05626043,2.16E-10,1.053130198,1.28E-08,1.040754097,3.67E-09,1.041499758,5.15E-09,1.029928008,3.65E-09,1.035274916,4.09E-09,1.039378625,4.58E-10,,,,,
1.131575195,1.13E-09,1.085731497,7.88E-09,1.076134858,6.16E-09,1.061686927,8.34E-09,1.058252976,3.04E-10,1.046345938,1.00E-08,1.047331758,9.65E-09,1.035760008,3.34E-09,1.040635856,2.66E-10,1.044815571,4.18E-09,,,,,
1.13690826,1.39E-09,1.090904786,4.43E-10,1.081298769,4.50E-10,1.066863897,3.39E-10,1.063375753,7.86E-10,1.05193778,2.78E-10,1.053163758,3.41E-10,1.041592008,4.52E-09,1.045996796,1.08E-08,1.050252518,2.45E-09,,,,,
1.142241325,6.92E-08,1.096078074,1.52E-08,1.08646268,1.98E-08,1.072040867,5.82E-09,1.068781155,4.49E-10,1.056970438,6.53E-09,1.058412558,1.14E-08,1.047424008,3.07E-10,1.051357736,4.11E-10,1.055689464,6.01E-09,,,,,
1.147574391,2.20E-09,1.101251362,6.72E-10,1.09131667,6.81E-10,1.077217838,5.06E-10,1.074186556,5.55E-10,1.062088523,4.18E-10,1.063384539,5.18E-10,1.053256008,1.88E-08,1.056182583,1.88E-09,1.06112641,6.65E-10,,,,,
1.152203117,-2.77E-08,1.106424651,1.29E-08,1.09568526,-1.39E-09,1.082394808,1.35E-08,1.079591957,6.88E-10,1.067206608,5.85E-09,1.06835652,1.61E-09,1.059088008,4.95E-10,1.061517954,6.04E-10,1.066563356,1.51E-08,,,,,
1.158280795,3.08E-09,1.111555914,1.01E-09,1.101098045,9.47E-10,1.087571778,7.66E-10,1.084997358,8.52E-10,1.072324693,6.24E-10,1.073706952,7.62E-10,1.063973036,-3.03E-09,1.066853325,7.44E-10,1.072000302,1.04E-09,,,,,
1.164358473,4.13E-09,1.116687178,1.39E-08,1.106510829,1.21E-09,1.092231052,7.07E-09,1.09040276,1.06E-09,1.077442778,1.17E-08,1.079057383,9.40E-10,1.069556208,1.60E-09,1.072188696,9.19E-10,1.076893554,4.12E-09,,,,,
